dateRep;day;month;year;cases;deaths;countriesAndTerritories;geoId;countryterritoryCode;popData2019;continentExp;Cumulative_number_for_14_days_of;daily_hosp_occ;daily_icu_occ
11Jan2020;11;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;;;
11Jan2020;11;1;2020;0;0;Spain;ES;ESP;46937060;Europe;;;
11Jan2020;11;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;;;
12Jan2020;12;1;2020;0;0;Austria;AT;AUT;8858775;Europe;;;
12Jan2020;12;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;;;
12Jan2020;12;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;;;
12Jan2020;12;1;2020;0;0;Estonia;EE;EST;1324820;Europe;;;
12Jan2020;12;1;2020;0;0;Finland;FI;FIN;5517919;Europe;;;
12Jan2020;12;1;2020;0;0;France;FR;FRA;67012883;Europe;;;
12Jan2020;12;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;;;
12Jan2020;12;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;;;
12Jan2020;12;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;;;
12Jan2020;12;1;2020;0;0;Spain;ES;ESP;46937060;Europe;;;
12Jan2020;12;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;;;
13Jan2020;13;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;
13Jan2020;13;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;1,06498885;;
13Jan2020;13;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;
13Jan2020;13;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;;
13Jan2020;13;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;
13Jan2020;13;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;
13Jan2020;13;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;
13Jan2020;13;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;
13Jan2020;13;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;
13Jan2020;13;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;
13Jan2020;13;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;
14Jan2020;14;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;
14Jan2020;14;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;0;;
14Jan2020;14;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;
14Jan2020;14;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;;
14Jan2020;14;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;
14Jan2020;14;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;
14Jan2020;14;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;
14Jan2020;14;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;
14Jan2020;14;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;
14Jan2020;14;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;
14Jan2020;14;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;
15Jan2020;15;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;
15Jan2020;15;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;0;;
15Jan2020;15;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;
15Jan2020;15;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;;
15Jan2020;15;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;
15Jan2020;15;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;
15Jan2020;15;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;
15Jan2020;15;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;
15Jan2020;15;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;
15Jan2020;15;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;
15Jan2020;15;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;
16Jan2020;16;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;
16Jan2020;16;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;0;;
16Jan2020;16;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;
16Jan2020;16;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;;
16Jan2020;16;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;
16Jan2020;16;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;
16Jan2020;16;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;
16Jan2020;16;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;
16Jan2020;16;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;
16Jan2020;16;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;
16Jan2020;16;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;
17Jan2020;17;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;
17Jan2020;17;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;0;;
17Jan2020;17;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;
17Jan2020;17;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;;
17Jan2020;17;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;
17Jan2020;17;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;
17Jan2020;17;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;
17Jan2020;17;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;
17Jan2020;17;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;
17Jan2020;17;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;
17Jan2020;17;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;
18Jan2020;18;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;
18Jan2020;18;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;0;;
18Jan2020;18;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;
18Jan2020;18;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;1;
18Jan2020;18;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;
18Jan2020;18;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;
18Jan2020;18;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;
18Jan2020;18;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;
18Jan2020;18;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;
18Jan2020;18;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;
18Jan2020;18;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;
19Jan2020;19;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;
19Jan2020;19;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;0;;
19Jan2020;19;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;
19Jan2020;19;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;;
19Jan2020;19;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;
19Jan2020;19;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;
19Jan2020;19;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;
19Jan2020;19;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;
19Jan2020;19;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;
19Jan2020;19;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;
19Jan2020;19;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;
20Jan2020;20;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;
20Jan2020;20;1;2020;0;0;Belgium;BE;BEL;11455519;Europe;0;;
20Jan2020;20;1;2020;0;0;Denmark;DK;DNK;5806081;Europe;0;;
20Jan2020;20;1;2020;0;0;Estonia;EE;EST;1324820;Europe;0;;
20Jan2020;20;1;2020;0;0;Finland;FI;FIN;5517919;Europe;0;;
20Jan2020;20;1;2020;0;0;France;FR;FRA;67012883;Europe;0;;
20Jan2020;20;1;2020;0;0;Ireland;IE;IRL;4904240;Europe;0;;
20Jan2020;20;1;2020;0;0;Luxembourg;LU;LUX;613894;Europe;0;;
20Jan2020;20;1;2020;0;0;Netherlands;NL;NLD;17282163;Europe;0;;
20Jan2020;20;1;2020;0;0;Spain;ES;ESP;46937060;Europe;0;;
20Jan2020;20;1;2020;0;0;Sweden;SE;SWE;10230185;Europe;0;;
21Jan2020;21;1;2020;0;0;Austria;AT;AUT;8858775;Europe;0;;
